Nome|Estilo|Cervejaria|IBU|ABV|Horario
NUCLEAR FUSION|Double New England IPA| Koala San Brew, Nova Lima - MG| 44 IBU |8.8% ABV |
THE TIME IS NOW|Imperia Oud Bruin| Koala San Brew, Nova Lima - MG| 15 IBU |10.5% ABV |
FACILA|Session IPA| Koones Beer, São Paulo -SP| 40 IBU |4.5% ABV |
RUBENA|Red Ale| Koones Beer, São Paulo -SP| 34 IBU |5.8% ABV |
SCÍVOLA|American Ipa com Seriguela| Koones Beer, São Paulo -SP| 65 IBU |6.5% ABV |
MANDARINA LAGER|Lager| Landel, Campinas - SP| 25 IBU |3.5% ABV |
2 HOP LAGER [EXCLUSIVA #SBB2018 ♥]|Lager|| IBU |3.5% ABV |Horário de Abertura: às 13h:00min
LANDEL SESSION AMERICAN IPA|India Session Ale| Landel, Campinas - SP| 40 IBU |4.8% ABV |
AMERICAN WHEAT CARDAMOMO [EXCLUSIVA #SBB2018 ♥]|American Wheat com camomila e cardamomo|| IBU |5.0% ABV |Horário de Abertura: às 13h:00min
CAMOMILA WHEAT|American Wheat| Landel, Campinas - SP| 25 IBU |5.0% ABV |
SESSION RYE IPA DRACHE|Rye IPA| Leuven, Piracicaba - SP| 30 IBU |4.5% ABV |
TREE OF LIFE SOUR|Catharina Sour| Leuven, Piracicaba - SP| IBU |4.5% ABV |
RED ALE KNIGHT|Irish Red Ale| Leuven, Piracicaba - SP| 24 IBU |5.5% ABV |
DARK WOLF [SPECIAL SELECTION!! ♥]|Belgian Quadrupel|| 30 IBU |10% ABV |Horário de Abertura: às 14h:45min
A NOIVA 2 |Gose com Maracujá| Mafiosa, Valinhos - SP| 8 IBU |4.1% ABV |
A NOIVA|American Wheat| Mafiosa, Valinhos - SP| 26 IBU |5.0% ABV |
VENDETTA|New England IPA| Mafiosa, Valinhos - SP| 48 IBU |6.5% ABV |
DON DRINO|American IPA| Mafiosa, Valinhos - SP| 52 IBU |6.9% ABV |
IRREFUTABILE [SPECIAL SELECTION!! ♥]|American Strong Ale|| 70 IBU |9.0% ABV |Horário de Abertura: às 15h:45min
LEAVE THE GUN! TAKE THE CANNOLI [SPECIAL SELECTION!! ♥]|Russian Imperial Stout|| 70 IBU |11% ABV |Horário de Abertura: às 15h:45min
SABRAGE IPA [LANÇAMENTO!! ♥]|Brut IPA|| 25 IBU |6.0% ABV |Horário de Abertura: às 12h:00min
GREEN LUBE IPA|Juicy IPA| Maniba, Novo Hamburgo - RS| 50 IBU |6.9% ABV |
BLACK METAL IPA|Black IPA| Maniba, Novo Hamburgo - RS| 70 IBU |7.2% ABV |
MERCADO NEGRO [SPECIAL SELECTION!! ♥]|Black Sour com Framboesas|| 30 IBU |8.0% ABV |Horário de Abertura: às 15h:45min
INVEJA|Hoppy Sour Ale| Mea Culpa, Cotia - SP| IBU |4.0% ABV |
HUMILDADE|India Session Ale| Mea Culpa, Cotia - SP| 42 IBU |4.2% ABV |
GENEROSIDADE|American IPA| Mea Culpa, Cotia - SP| 60 IBU |6.8% ABV |
CARIDADE|New England IPA| Mea Culpa, Cotia - SP| IBU |7.0% ABV |
LUXÚRIA |Russian Imperial Stout| Mea Culpa, Cotia - SP| 70 IBU |10% ABV |
BELGIUM SOUR NÊSPERA MF [SPECIAL SELECTION!! ♥]|Sour|| IBU |5.0% ABV |Horário de Abertura: Torneiras Giratórias
SAINT PITO MF [SPECIAL SELECTION!! ♥]|American Lager| MF, Gramado - RS| IBU |5.2% ABV |
MF WILD SAISON GOIABA [SPECIAL SELECTION!! ♥]|Saison| MF, Gramado - RS| IBU |5.5% ABV |
PÊSKO LAMBIC MF [SPECIAL SELECTION!! ♥]|Lambic|| IBU |5.5% ABV |Horário de Abertura: Torneiras Giratórias
MF FLANDERS CLASSIC [SPECIAL SELECTION!! ♥]|Flanders Red Ale| MF, Gramado - RS| IBU |5.5% ABV |
MF TRAPPITO FUSION MF [SPECIAL SELECTION!! ♥]|Experimental|| IBU |5.8% ABV |Horário de Abertura: Torneiras Giratórias
DU PETY - MF & COZALINDA [SPECIAL SELECTION!! ♥]|Fruit Lambic| MF, Gramado - RS| IBU |6.0% ABV |
DELICIOUS APA [SPECIAL SELECTION!! ♥]|American Pale Ale|| IBU |6.0% ABV |Horário de Abertura: Torneiras Giratórias
MF BELGIUM PEACH JUICE [SPECIAL SELECTION!! ♥]|India Pale Ale| MF, Gramado - RS| IBU |6.0% ABV |
TANGER IPA [SPECIAL SELECTION!! ♥]|India Pale Ale| MF, Gramado - RS| IBU |6.5% ABV |
PUMPKIN FARMHOUSE MF & ZAPATA [SPECIAL SELECTION!! ♥]|Pumpkin Ale|| IBU |7.5% ABV |Horário de Abertura: Torneiras Giratórias
RIS MF & EVERBREW [SPECIAL SELECTION!! ♥]|Rye Ris|| IBU |12.5% ABV |Horário de Abertura: Torneiras Giratórias
MATA ATLÂNTICA|Saison| MicroX, Brasília - DF| 20 IBU |6.8% ABV |
FREESTATE|American IPA| MicroX, Brasília - DF| 70 IBU |7.0% ABV |
SHADOW PLAY|New England IPA| MicroX, Brasília - DF| 55 IBU |7.0% ABV |
ANGEL DUST|Belgian IPA| MicroX, Brasília - DF| 75 IBU |9.1% ABV |
ONE WAY IPA BATCH 10/18|American IPA| Molinarius, São Paulo - SP| 80 IBU |6.0% ABV |
MOLINARIUS RED IPA [LANÇAMENTO!! ♥]|Red IPA|| 60 IBU |6.0% ABV |Horário de Abertura: às 13h:30min
HOPPINESS #3.0|American IPA| Molinarius, São Paulo - SP| 35 IBU |6.3% ABV |
MOLINARIUS BLACK IPA|Black IPA| Molinarius, São Paulo - SP| 60 IBU |7.0% ABV |
HOPPED BRAIN #2.0|Double IPA| Molinarius, São Paulo - SP| 92 IBU |8.1% ABV |
HOPPED BRAIN #1.0|Double IPA| Molinarius, São Paulo - SP| 72 IBU |8.2% ABV |
HOP ARABICA|American Blond Ale + Café| Morada Cia EtÍlica, Curitiba - PR| 10 IBU |5.0% ABV |
COYOL COCOA CREAM PORTER|Cream Porter| Morada Cia EtÍlica, Curitiba - PR| 28 IBU |5.5% ABV |
CUPUAÇU SOUR|Berliner Weisse| Morada Cia EtÍlica, Curitiba - PR| 7 IBU |5.5% ABV |
ÉPO HIBI|Sidra Artesanal| Morada Cia EtÍlica, Curitiba - PR| 30 IBU |6.4% ABV |
GASOLINE SOUR [SPECIAL SELECTION!! ♥]|Red Flanders Ale|| 30 IBU |6.7% ABV |Horário de Abertura: às 15h:00min
HELL DE JANEIRO|Pilsner| Motim, Rio de Janeiro - RJ| 30 IBU |5.0% ABV |
CANUDOS OAK [SPECIAL SELECTION!! ♥]|Farmhouse Ale|| 22 IBU |7.0% ABV |Horário de Abertura: às 12h:00min
CANUDOS BRASIL AMBURANA [SPECIAL SELECTION!! ♥]|Wood Aged Brett Saison|| 20 IBU |7.0% ABV |Horário de Abertura: às 12h:00min
CANUDOS BRASIL CASTANHEIRA [SPECIAL SELECTION!! ♥]|Wood Aged Brett Saison|| 20 IBU |7.0% ABV |Horário de Abertura: às 12h:00min
SALÉM|Double New England| Motim, Rio de Janeiro - RJ| .7 IBU |9.1% ABV |
KOFE TZAR|Imperial Stout| Motim, Rio de Janeiro - RJ| 68 IBU |10% ABV |
TABLE SOUS LA MER|Table Beer| Narcose, Capão da Canoa - RS| IBU |3.2% ABV |
BRETT SOUR ALE BARREL AGED [LANÇAMENTO!! ♥]|Sour || IBU |5.0% ABV |Horário de Abertura: às 12h:00min
VIN DE LA MAISON [LANÇAMENTO!! ♥]|Specialty Grain || 6 IBU |7.0% ABV |Horário de Abertura: às 13h:30min
NOT SO HEAVY - BARREL AGED BOURBON [LANÇAMENTO!! ♥]|Wee Heavy|| IBU |8.0% ABV |Horário de Abertura: Torneiras Giratórias
NOT SO HEAVY - BARREL AGED PORTO [LANÇAMENTO!! ♥]|Wee Heavy|| IBU |8% ABV |Horário de Abertura: Torneiras Giratórias
NOT SO HEAVY - BARREL AGED PEATED [LANÇAMENTO!! ♥]|Wee Heavy|| IBU |8.0% ABV |Horário de Abertura: Torneiras Giratórias
YELLOW CLOUD|New England APA| Oceânica, Niteroi -RJ| 35 IBU |5.5% ABV |
BRIGHT SPARKS|Brut IPA| Oceânica, Niteroi -RJ| 3 IBU |6.0% ABV |
WILD RUBY|Flanders Red Ale| Oceânica, Niteroi -RJ| 10 IBU |6.0% ABV |
BORN 2 ROCK|Imperial IPA| Oceânica, Niteroi -RJ| 95 IBU |9.0% ABV |
LITTLEFIELD MANGO [LANÇAMENTO!! ♥]|New England IPA|| IBU |6.6% ABV |Horário de Abertura: às 12h:00min
LOCOMOTIVE BRETT|American IPA| Octopus, Rio de Janeiro - RJ| IBU |7.0% ABV |
SONORA|Double New England| Octopus, Rio de Janeiro - RJ| IBU |8.5% ABV |
OLD BLACK [LANÇAMENTO!! ♥]|Imperial Stout em barril de amburana|| IBU |12.5% ABV |Horário de Abertura: às 15h:45min
COFFEE BLOND|Blonde Ale + Café| Odin, Rio de Janeiro - RJ| 14 IBU |5.0% ABV |
ODIN VIENNA|Vienna Lager| Odin, Rio de Janeiro - RJ| IBU |5.5% ABV |
ODIN IPA|American IPA| Odin, Rio de Janeiro - RJ| 45 IBU |6.5% ABV |
ODIN TRIPEL|Belgian Tripel| Odin, Rio de Janeiro - RJ| 22 IBU |7.5% ABV |
PALO SANTO VIKING IMPERIAL STOUT [SPECIAL SELECTION!! ♥]|Russian Imperial Stout|| 55 IBU |40% ABV |Horário de Abertura: às 14h:45min
GRAVIOH -LÀ-LÀ|Berliner Weisse com Graviola| Overhop, Rio de Janeiro - RJ| IBU |4.0% ABV |
GANGSTA|India Session Ale| Overhop, Rio de Janeiro - RJ| 26 IBU |4.5% ABV |
COFFEE CRAVING|New England IPA com café| Overhop, Rio de Janeiro - RJ| 0 IBU |6.5% ABV |
DARK FOREST|Dark Sour com morango, framboesa, cereja e amora| Overhop, Rio de Janeiro - RJ| 5 IBU |7.0% ABV |
AETERNUM #1 [SPECIAL SELECTION!! ♥]|American Imperial Stout com cacau e baunilha|| 70 IBU |10% ABV |Horário de Abertura: às 16h:00min
AETERNUM #2 [SPECIAL SELECTION!! ♥]|American Imperial Stout com avelã, coco e caramelo|| 76 IBU |10% ABV |Horário de Abertura: às 16h:00min
[LANÇAMENTO!! ♥] |Surpresa!| Petra, Petrópolis - RJ| NI IBU |NI ABV |
PETRA WEISS|Bavarian Weissbier| Petra, Petrópolis - RJ| 10 IBU |5.2% ABV |
PETRA KELLER|Keller Bier| Petra, Petrópolis - RJ| 22 IBU |6.0% ABV |
PETRA SCHWARZBIER|Schwarzbier| Petra, Petrópolis - RJ| 18 IBU |6.2% ABV |
AURUM|Dortmund Export| Petra, Petrópolis - RJ| 11 IBU |6.2% ABV |
STARK|Doppelbock| Petra, Petrópolis - RJ| 20 IBU |8.2% ABV |
CABRUCA [SPECIAL SELECTION!! ♥]|Berliner Weisse Cacau|| 5 IBU |3.4% ABV |Horário de Abertura: às 13h:15min
DOM PEDRO II|Czech Pilsner | Pratinha, Ribeirão Preto - SP| 45 IBU |5.0% ABV |
AMBARELLA [SPECIAL SELECTION!! ♥]|Berliner Weisse com Cajá-Manga|| 5 IBU |5.0% ABV |Horário de Abertura: às 13h:15min
BIRUDO|Witbier| Pratinha, Ribeirão Preto - SP| 17 IBU |5.9% ABV |
PRATIPA|English IPA| Pratinha, Ribeirão Preto - SP| 65 IBU |6.0% ABV |
CULOTE DE LA DUCHESSE [SPECIAL SELECTION!! ♥]|Flanders Red Ale|| IBU |6.5% ABV |Horário de Abertura: às 16h:00min
PORTER PORTEIRA E PORTÃO|English Porter| Pratinha, Ribeirão Preto - SP| 20 IBU |7.5% ABV |
TASTES LIKE BIRTHDAY|Milk Stout| Quatro Graus, Rio de Janeiro - RJ| IBU |6.5% ABV |
PASSION IS NEVER TOO MUCH|Fruit Beer| Quatro Graus, Rio de Janeiro - RJ| IBU |7.5% ABV |
CUMARU & CUMARUBOOM|Barley Wine| Quatro Graus, Rio de Janeiro - RJ| IBU |12% ABV |
COFFEA BLACK ANTHRAX|Brazilian Extreme Imperial Stout| Quatro Graus, Rio de Janeiro - RJ| IBU |16% ABV |
MAPLE BLACK ANTHRAX [SPECIAL SELECTION!! ♥]|Brazilian Extreme Imperial Stout|| IBU |16% ABV |Horário de Abertura: às 15h:00min
REDCALL [LANÇAMENTO!! ♥]|Catharina Sour com Morango, hibuscus e hortelã|| 05 IBU |4.0% ABV |Horário de Abertura: às 12h:00min
BARÃO|Irish Red Ale| Quinta do Malte, Socorro -SP| 25 IBU |6.5% ABV |
MAMBA IPA|American IPA | Quinta do Malte, Socorro -SP| 60 IBU |7.0% ABV |
UMBU BRASILIEN WEISSE|Berliner Weisse com umbu| RockBird, Rio de Janeiro - RJ| 6 IBU |3.8% ABV |
ATOMIC WATERMELON|Gose com melancia, hortelã, hibisco e sal marinho| RockBird, Rio de Janeiro - RJ| 8 IBU |4.2% ABV |
SOMA KOMA|Gose com flor de sal marinho e gengibre.| RockBird, Rio de Janeiro - RJ| 7 IBU |4.5% ABV |
REVERBERATOR [SPECIAL SELECTION!! ♥]|Doppelbock|| 19 IBU |9.3% ABV |Horário de Abertura: às 14h:45min
JUDY MANGO|Milkshake IPA| Salvador Brewing Co., Caxias do Sul - RS| IBU |5.9% ABV |
MK2 PIÑA COLADA NE IPA [LANÇAMENTO!! ♥]|New England IPA|| IBU |6.0% ABV |Horário de Abertura: às 12h:00min
P47 [LANÇAMENTO!! ♥]|New England IPA|| IBU |7.3% ABV |Horário de Abertura: às 12h:00min
MACAU HOT STOUT #3 [LANÇAMENTO!! ♥]|Milk Stout|| IBU |9.0% ABV |Horário de Abertura: às 14h:30min
ENGESA OIL BRUNCH STOUT [LANÇAMENTO!! ♥]|Russian Imperial Stout|| IBU |10.5% ABV |Horário de Abertura: às 16h:00min
ENGESA OIL COCONUT EDITION|Russian Imperial Stout| Salvador Brewing Co., Caxias do Sul - RS| IBU |11.3% ABV |
SOUR SAT|Sour mirtilo, amora e framboesas| Satélite, São Paulo - SP| IBU |3.4% ABV |
AAA HOP POWER|American Amber Ale| Satélite, São Paulo - SP| 30 IBU |5.5% ABV |
CRYOSAT P.01|New England IPA| Satélite, São Paulo - SP| 50 IBU |6.0% ABV |
SPACE LAB - MISSION 001 [LANÇAMENTO!! ♥]|Belgian Dark Strong Ale com Rapadura|| IBU |9.5% ABV |Horário de Abertura: às 15h:15min
SCHORNSTEIN SOUR CUPUAÇU|Catharina Sour Cupuaçu| Schornstein, Pomerode - SC| IBU |4.0% ABV |
SCHORNSTEIN PILSEN|Pilsen| Schornstein, Pomerode - SC| 19 IBU |4.5% ABV |
SCHORNSTEIN APA|American Pale Ale| Schornstein, Pomerode - SC| 35 IBU |5.0% ABV |
SCHORNSTEIN IPA|American IPA| Schornstein, Pomerode - SC| 45 IBU |6.5% ABV |
PORTER DA ESPERANÇA|Spiced Beer| Seasons, Porto Alegre - RS| 20 IBU |5.0% ABV |
BASILICOW|Witbier com Manjericão| Seasons, Porto Alegre - RS| 16 IBU |5.0% ABV |
WALLACE|American Amber Ale| Seasons, Porto Alegre - RS| 35 IBU |5.8% ABV |
GREEN COW|American IPA| Seasons, Porto Alegre - RS| 62 IBU |6.2% ABV |
CAMBUÇA BLANCHE|Witbier| Suméria, São Paulo - SP| IBU |4.2% ABV |
ANGRY NUTS|IPA com avelã| Suméria, São Paulo - SP| 59 IBU |5.4% ABV |
OLIVIA IPALITO NATAL|American IPA | Suméria, São Paulo - SP| 59 IBU |5.4% ABV |
GOIABINHA|Gose com goiaba e hibiscus| Suricato Ales, Porto Alegre - RS| 4 IBU |4.0% ABV |
CAJUMINADO|Milkshake IPA + Caju| Suricato Ales, Porto Alegre - RS| 60 IBU |5.5% ABV |
PINOCCHIO|Sour Pumpkin Ale| Suricato Ales, Porto Alegre - RS| 8 IBU |6.8% ABV |
SEAL THE DEAL|Double IPA| Suricato Ales, Porto Alegre - RS| 72 IBU |8.2% ABV |
SNOW WIT|Witbier| Synergy, Sorocaba - SP| 13 IBU |4.6% ABV |
BLAST IT UP|New England APA| Synergy, Sorocaba - SP| 30 IBU |5.2% ABV |
XPRESSO VANILLA|Oatmeal Coffee Stout| Synergy, Sorocaba - SP| 34 IBU |6.0% ABV |
HOP IT UP|New England IPA| Synergy, Sorocaba - SP| 55 IBU |7.4% ABV |
OVERBATCH VANILLA [LANÇAMENTO!! ♥]|Russian Imperial Stout|| 50 IBU |12% ABV |Horário de Abertura: às 15h:30min
FLORA BÁLSAMO [EXCLUSIVA #SBB2018 ♥]|Saison|| 25 IBU |5.4% ABV |Horário de Abertura: às 12h:00min
LENHA|American Pale Ale| Tábuas, Campinas - SP| 35 IBU |5.5% ABV |
ESTACA|American IPA| Tábuas, Campinas - SP| 50 IBU |6.4% ABV |
CIPÓ [LANÇAMENTO!! ♥]|New England IPA + Madeira Amburana|| 60 IBU |7.6% ABV |Horário de Abertura: às 12h:00min
SERROTE WHITE OAK [EXCLUSIVA #SBB2018 ♥]|Double IPA + Carvalho|| 75 IBU |8.2% ABV |Horário de Abertura: às 13h:30min
BRASA MAPLE [EXCLUSIVA #SBB2018 ♥]|Russian Imperial Stout + Nibs Cacau + Cumaru + Laranja + Maple|| 50 IBU |11.3% ABV |Horário de Abertura: às 15h:00min
BRASA|Russian Imperial Stout| Tábuas, Campinas - SP| 50 IBU |11.3% ABV |
HOP IS THE NEW HOP|India Pale Kölsch| Thirsty Hawks Farm Brewery, Rio de Janeiro - RJ| 47 IBU |6.0% ABV |
BRIAC Bordeaux Barrel Aged|Flanders Red Ale| Thirsty Hawks Farm Brewery, Rio de Janeiro - RJ| 16 IBU |6.2% ABV |
GINGA DE LA BOE [SPECIAL SELECTION!! ♥]|Wood Gin Barrel Aged|| 20 IBU |6.4% ABV |Horário de Abertura: às 15h:15min
BRUT BELIEF|Brut IPA| Thirsty Hawks Farm Brewery, Rio de Janeiro - RJ| 20 IBU |6.5% ABV |
OLD BOGDAN|Quadrupel Sour Barrel Aged| Thirsty Hawks Farm Brewery, Rio de Janeiro - RJ| 35 IBU |9.0% ABV |
AM:PM|India Session Ale| Thornbridge, Derbyshire - Reino Unido| IBU |4.5% ABV |
JAIPUR|English IPA| Thornbridge, Derbyshire - Reino Unido| 55 IBU |5.9% ABV |
COCOA WONDERLAND|Porter| Thornbridge, Derbyshire - Reino Unido| IBU |6.8% ABV |
HALCYON|Double IPA| Thornbridge, Derbyshire - Reino Unido| 70 IBU |7.4% ABV |
GAZPACHO|Gose com tomate e picles de pepino| Three Monkeys Beer, Rio de Janeiro - RJ| 8 IBU |4.8% ABV |
COOL LAGER|American Light Lager| Three Monkeys Beer, Rio de Janeiro - RJ| 14 IBU |5.0% ABV |
CLASSIC IPA|American IPA| Three Monkeys Beer, Rio de Janeiro - RJ| 45 IBU |6.0% ABV |
HOP DUST SHOCK|New England IPA| Three Monkeys Beer, Rio de Janeiro - RJ| 55 IBU |7.0% ABV |
PARANOID [SPECIAL SELECTION!! ♥]|Russian Imperial Stout|| 33 IBU |12% ABV |Horário de Abertura: às 16h:30min
MAMANGAVA FRENCH OAK|Sour Ale| Trilha , São Paulo - SP| IBU |5.3% ABV |
MELONRISE|Juicy IPA| Trilha , São Paulo - SP| IBU |7.0% ABV |
MAURO EXPLICA|Dark Sour Barrel Aged| Trilha , São Paulo - SP| IBU |7.8% ABV |
GORILLA SLOW BREW [EXCLUSIVA #SBB2018 ♥]|Russian Imperial Stout|| IBU |11.5% ABV |Horário de Abertura: às 16h:30min
GORILLA MORANGO FRENCH OAK|Russian Imperial Stout| Trilha , São Paulo - SP| IBU |12% ABV |
GORILLA PISTACHE|Russian Imperial Stout| Trilha , São Paulo - SP| IBU |12% ABV |
MAGMA|Russian Imperial Stout| Trilha , São Paulo - SP| IBU |12.1% ABV |
TRETA|Berliner Weisse com morango, amora e goiaba| Urbana, São Paulo - SP| IBU |4.0% ABV |
URBANA KRIEK|Kriek Cereja| Urbana, São Paulo - SP| IBU |7.5% ABV |
CUMARU RIS BARREL AGED SPANISH BRANDY|Russian Imperial Stout| Urbana, São Paulo - SP| IBU |12% ABV |
NÃO É BOLO DE ROLO [SPECIAL SELECTION!! ♥]|Russian Imperial Stout com baunilha e goiaba|| IBU |12% ABV |Horário de Abertura: às 15h:30min
W*KATTZ SMOKED IPA|English IPA| W-Kattz, Rio de Janeiro - RJ| 8 IBU |5.0% ABV |
EL DORADO [SPECIAL SELECTION!! ♥]|Brut IPA|| IBU |6.5% ABV |Horário de Abertura: às 13h:00min
W*KATTZ SAISON|Saison| W-Kattz, Rio de Janeiro - RJ| 28 IBU |6.8% ABV |
SETE VIDAS|Rye IPA| W-Kattz, Rio de Janeiro - RJ| 70 IBU |7.0% ABV |
URTYP|German Helles| Weltenburger Kloster, Baviera - Alemanha| 20 IBU |4.9% ABV |
HEFE DUNKEL WEIZEN|Dunkel| Weltenburger Kloster, Baviera - Alemanha| 12 IBU |5.3% ABV |
ANNO 1050|German Märzen| Weltenburger Kloster, Baviera - Alemanha| 24 IBU |5.5% ABV |
2 CABEÇAS + ZALAZ|Gose com maracujá e pimenta| Zalaz, Paraisópolis - MG| 6 IBU |4.5% ABV |
PASSIFLORA|Sour Ale| Zalaz, Paraisópolis - MG| 19 IBU |5.0% ABV |
YBYRÁ ARACÊ BARREL AGED|Farmhouse Ale| Zalaz, Paraisópolis - MG| 20 IBU |6.6% ABV |
YBYRÁ AJUCÁ BARREL AGED [LANÇAMENTO!! ♥]|Farmhouse Ale || 27 IBU |6.9% ABV |Horário de Abertura: às 15h:30min
FLOR DE BANANEIRA|Weizenbock| Zalaz, Paraisópolis - MG| 30 IBU |8.5% ABV |
DOGMA + ZALAZ|Wee Heavy com doce de figo| Zalaz, Paraisópolis - MG| 20 IBU |8.8% ABV |